sample_method,sample_size,no_of_samples,percent_male,protected_freq_mean,log_diversity_mean,2entropy_mean,4entropy_mean,D_mean,Prob_>_50,protected_freq_std,log_diversity_std,2entropy_std,4entropy-std,D_std,Prob_>_50_std
uniform,40,100,10,0.9055,-33.10739075272085,0.3005997818000293,0.9642568948214373,0.9562551144367453,1.0,0.04563167759353144,1.312898827250862,0.10084195666071374,0.10605291396461135,0.7107828958943032,0.0
uniform,40,100,20,0.80625,-32.98443298242538,0.47926028483541117,1.1498106712540608,0.34006034269304924,1.0,0.061071167501530535,1.295363391932212,0.09036281431224005,0.09237111011237233,0.30703840418557043,0.0
uniform,40,100,30,0.689,-33.179553263151405,0.6083337086172002,1.2791556445384549,0.12456933708812416,1.0,0.06976030389842063,1.2462018012072245,0.05883756377125722,0.06454293345012851,0.0905698572224492,0.0
uniform,40,100,40,0.60525,-32.93814970250731,0.6574880748695322,1.326599291914783,0.06875132148621783,0.88,0.07947444557843734,1.0037940091351563,0.036117056041120546,0.04586895217654715,0.07094819132772873,0.3171750305430741
uniform,40,100,50,0.49774999999999997,-33.06393376960386,0.6801973799637804,1.3528561330452007,0.03502512936764722,0.495,0.0800074215307555,1.5185563423224142,0.015545010024818144,0.02380390484777097,0.026644011625110504,0.47694339286753934
k-DPP,40,100,10,0.9002500000000002,-32.084389754714664,0.3140896591628772,0.9827574520059312,0.8135215349449273,1.0,0.04249926469952158,1.0830742351987228,0.09432920573534724,0.10097554561810423,0.6250167635029295,0.0
k-DPP,40,100,20,0.8065000000000001,-31.727843952258983,0.4741440390265155,1.1412923506682384,0.40104138973617615,1.0,0.07216474208365191,0.9431550705468844,0.10478897339042158,0.10917899238037772,0.40932061117131197,0.0
k-DPP,40,100,30,0.6977500000000001,-31.79267469074642,0.6016767725881645,1.2724716325350283,0.1467862484632745,1.0,0.06746248957754228,1.0925793010238778,0.061572511052187695,0.06907295079425443,0.18893233836995957,0.0
k-DPP,40,100,40,0.585,-31.79959783377932,0.6638255826964513,1.3336661475383311,0.05948448907486361,0.845,0.08403868156985805,1.017602967464702,0.03669397185733678,0.046982084398213726,0.06810210657784525,0.34420197558991433
k-DPP,40,100,50,0.5065000000000001,-31.924726196808315,0.6830857153718648,1.3505200229750582,0.03747324830251647,0.52,0.07032247151515653,0.9522790340745818,0.012521409782760881,0.02995452854794704,0.033353921580300094,0.4686149805543992
P-DPP,40,100,10,0.5,-32.29877866107238,0.6931471805599453,1.3704900239104671,0.016234609588634027,0.5,0.0,0.8001245414033998,0.0,0.012988091369777967,0.013717570534974058,0.0
P-DPP,40,100,20,0.5,-32.05215082511862,0.6931471805599453,1.3652974365049437,0.021849263883980553,0.5,0.0,0.8646974928944376,0.0,0.01860813653200785,0.019944638357472094,0.0
P-DPP,40,100,30,0.5,-32.03414678558591,0.6931471805599453,1.3639746292910702,0.023273474779150826,0.5,0.0,0.9322764834351738,0.0,0.018334519400339075,0.019650348315699548,0.0
P-DPP,40,100,40,0.5,-32.06760839926609,0.6931471805599453,1.3646070551016296,0.022761260015815507,0.5,0.0,0.927248934646323,0.0,0.02214445087699808,0.02437534216469489,0.0
P-DPP,40,100,50,0.5,-32.09958600123096,0.6931471805599453,1.3650045967623914,0.022189804555243473,0.5,0.0,0.9711916932922672,0.0,0.019585890970467583,0.02126169134575115,0.0
